Layer,Name,GEOID,LEQ_2015-2019,COVIV_2021,FOR_2015-2019,HDX_2015-2019,UNS_2015-2019
,,,"Limited English proficiency (% of residents), 2015-2019","COVID-19 Vaccination Completion Rate (% of residents), 2021","Foreign born (% of residents), 2015-2019","Hardship Index (score), 2015-2019","Uninsured rate (% of residents), 2015-2019"
Zip code,"60601 (Chicago, IL)",60601,0.798253394282595,53.6,32.9045945766757,0.6845,2.92887029288703
Zip code,"60602 (Chicago, IL)",60602,0.0,81.0,12.0524017467249,1.07427,1.22270742358079
Zip code,"60603 (Chicago, IL)",60603,0.0,93.8,26.8060836501901,4.4695,8.36501901140684
Zip code,"60604 (Chicago, IL)",60604,1.1070110701107,74.5,24.6658566221142,7.24131,0.486026731470231
Zip code,"60605 (Chicago, IL)",60605,1.89554849534145,56.3,20.3922918100482,4.14752475247525,2.49699795154341
Zip code,"60606 (Chicago, IL)",60606,1.4321295143213,69.7,26.6808640097353,1.02638,4.13751140857925
Zip code,"60607 (Chicago, IL)",60607,1.21532742350586,55.1,17.5366128426587,26.6869786978698,4.03142443663428
Zip code,"60608 (Chicago, IL)",60608,14.4017110943875,44.2,27.7969997127119,72.9526647335267,13.0804844310194
Zip code,"60609 (Chicago, IL)",60609,13.7766250377503,36.0,26.3968886919707,85.8232053589282,14.5676614376718
Zip code,"60610 (Chicago, IL)",60610,0.671330829775194,52.2,14.5235276709086,7.76619,3.33781027707307
Zip code,"60611 (Chicago, IL)",60611,1.37326017545491,61.3,20.8915241993739,1.46706,1.76378521550686
Zip code,"60612 (Chicago, IL)",60612,1.87420584498094,36.5,9.19519786571809,67.70725,6.26020192249562
Zip code,"60613 (Chicago, IL)",60613,2.96450504840221,56.9,16.0103228856799,9.00284,5.1698875336607
Zip code,"60614 (Chicago, IL)",60614,1.17860912395919,50.8,12.081329738444,1.51137341202361,2.66313636490992
Zip code,"60615 (Chicago, IL)",60615,1.02242059373054,46.0,12.6829268292683,45.155804419558,6.96602061448932
Zip code,"60616 (Chicago, IL)",60616,15.8400829142835,43.6,38.1109655515988,53.67721,7.47829999437581
Zip code,"60617 (Chicago, IL)",60617,6.41843926273647,29.4,13.9360645338887,81.47144,8.5175692830966
Zip code,"60618 (Chicago, IL)",60618,10.3393190959044,45.6,25.1677958422456,34.12265,12.9602621010357
Zip code,"60619 (Chicago, IL)",60619,0.338297352910404,29.5,2.29712287810218,78.01481,9.09016554341425
Zip code,"60620 (Chicago, IL)",60620,0.183394203489192,26.5,1.91254005996072,82.81299870013,7.64444973655226
Zip code,"60621 (Chicago, IL)",60621,0.554016620498615,22.1,2.81961596116782,94.98658,12.0805369127517
